Link,customId,Id_Evento,Cartao_Vermelho_Fora,Data_Hora,Evento_Slug,Torneio,Pais,Torneio_Slug,Id_Unico_Torneio,Evento_com_Estats,Id_Torneio,Status_Partida,Time_Casa,Id_Time_Casa,Time_Fora,Id_Time_Fora,Gols_Casa,Gols_Casa_1T,Gols_Casa_2T,Gols_Casa_Tempo_Normal,Gols_Fora,Gols_Fora_1T,Gols_Fora_2T,Gols_Fora_Tempo_Normal,Tempo_Extra_1T,Tempo_Extra_2T,Cartao_Vermelho_Casa,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,time.injuryTime3,time.injuryTime4,homeScore.penalties,awayScore.penalties,Odd_Frac_Casa,Odds_Decimais_Casa,Prob_Casa,Odd_Frac_Empate,Odds_Decimais_Empate,Prob_Empate,Odd_Frac_Fora,Odds_Decimais_Fora,Prob_Fora
https://www.sofascore.com/tulsa-athletics-brazos-valley-cavalryc/OAbcscyAc,OAbcscyAc,11048666,1.0,2023-03-22 21:00:00,tulsa-athletics-brazos-valley-cavalryc,US Open Cup,USA,us-open-cup,495,True,6814,Ended,Tulsa Athletics,313652,Brazos Valley Cavalry F.C.,253789,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,5/4,2.25,44.44,3/1,4.0,25.0,7/5,2.4,41.67
https://www.sofascore.com/sergipe-sampaio-correa/fPsqP,fPsqP,10984872,1.0,2023-03-22 21:30:00,sergipe-sampaio-correa,Copa do Nordeste,Brazil,copa-do-nordeste,1596,False,70849,Ended,Sergipe,2016,Sampaio Corrêa,2005,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,6.0,,,,,,,,,,,,4/7,1.57,63.69,11/4,3.75,26.67,4/1,5.0,20.0
https://www.sofascore.com/ferroviario-nautico/lPsxdn,lPsxdn,10997691,,2023-03-22 21:30:00,ferroviario-nautico,Copa do Nordeste,Brazil,copa-do-nordeste,1596,False,70849,Ended,Náutico,2011,Ferroviário,32672,3.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0,3.0,8.0,,,,,,,,,,,,8/13,1.62,61.73,11/4,3.75,26.67,10/3,4.33,23.09
https://www.sofascore.com/atletico-alagoinhas-ceara/bPsfvxc,bPsfvxc,10984883,,2023-03-22 21:30:00,atletico-alagoinhas-ceara,Copa do Nordeste,Brazil,copa-do-nordeste,1596,False,70849,Ended,Ceará,2001,Atlético Alagoinhas,306005,3.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,3.0,7.0,,,,,,,,,,,,2/7,1.29,77.52,7/2,4.5,22.22,15/2,8.5,11.76
https://www.sofascore.com/campinense-vitoria/mOskFn,mOskFn,10997687,,2023-03-22 21:30:00,campinense-vitoria,Copa do Nordeste,Brazil,copa-do-nordeste,1596,False,70849,Ended,Campinense,34010,Vitória,1962,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,11/8,2.38,42.02,11/5,3.2,31.25,13/8,2.62,38.17
https://www.sofascore.com/csa-sport-recife/jOskP,jOskP,10997693,,2023-03-22 21:30:00,csa-sport-recife,Copa do Nordeste,Brazil,copa-do-nordeste,1596,False,70849,Ended,CSA,2010,Sport Recife,1959,1.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,8.0,5.0,1.0,,,,,,,,,,,7/2,4.5,22.22,12/5,3.4,29.41,4/6,1.67,59.88
https://www.sofascore.com/crb-bahia/fOsHPi,fOsHPi,10984871,,2023-03-22 21:30:00,crb-bahia,Copa do Nordeste,Brazil,copa-do-nordeste,1596,False,70849,Ended,Bahia,1955,CRB,22032,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,,,,,6/4,2.5,40.0,11/5,3.2,31.25,6/4,2.5,40.0
https://www.sofascore.com/fluminense-pi-abc/NLisrgad,NLisrgad,10984876,,2023-03-22 21:30:00,fluminense-pi-abc,Copa do Nordeste,Brazil,copa-do-nordeste,1596,False,70849,Ended,ABC,21838,Fluminense-PI,375317,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,3/10,1.3,76.92,7/2,4.5,22.22,13/2,7.5,13.33
https://www.sofascore.com/fortaleza-santa-cruz/BOsvP,BOsvP,10997683,,2023-03-22 21:30:00,fortaleza-santa-cruz,Copa do Nordeste,Brazil,copa-do-nordeste,1596,False,70849,Ended,Santa Cruz,1976,Fortaleza,2020,0.0,0.0,0.0,0.0,4.0,1.0,3.0,4.0,4.0,4.0,,,,,,,,,,,,7/2,4.5,22.22,5/2,3.5,28.57,4/6,1.67,59.88
https://www.sofascore.com/millonarios-deportivo-pasto/nxcsrxc,nxcsrxc,11145865,1.0,2023-03-22 22:00:00,millonarios-deportivo-pasto,"Primera A, Apertura",Colombia,primera-a-apertura,11539,True,19232,Ended,Millonarios,6117,Deportivo Pasto,6113,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,,,,,,,,,,,,31/50,1.62,61.73,5/2,3.5,28.57,11/2,6.5,15.38
https://www.sofascore.com/raya2-expansion-correcaminos-uat/BFoseIed,BFoseIed,10912519,,2023-03-22 22:05:00,raya2-expansion-correcaminos-uat,"Liga de Expansion MX, Clausura",Mexico,liga-de-expansion-mx-clausura,11612,False,90492,Ended,Raya2 Expansión,386654,Correcaminos UAT,36526,0.0,0.0,0.0,0.0,4.0,3.0,1.0,4.0,,,,,,,,,,,,,,5/4,2.25,44.44,12/5,3.4,29.41,11/5,3.2,31.25
https://www.sofascore.com/central-valley-fuego-north-carolina-fc/dPisUfmd,dPisUfmd,10987626,,2023-03-22 23:00:00,central-valley-fuego-north-carolina-fc,"USL, League One",USA,usl-league-one,13362,True,71366,Postponed,Central Valley Fuego,405294,North Carolina FC,22003,,,,,,,,,,,,,,,,,,,,,,8/11,1.73,57.8,13/5,3.6,27.78,14/5,3.8,26.32
